Vinils;Edició;Obert;Obert amb plàstic original;Venia Sense Plastic;No tocat mai;Estat;Demandat;Limited Edition;B&W;Coloured;Splatter;Uniform;Translucid;Picture Disck;Liquid;Zeotrope;Poster;Firmat;Numerat;Llibret;Defectuós;Nº de còpies;Tirada desconeguda;Preu Compra Total;Any;Preu mercat
Motomami;Limitada;CERT;FALS;FALS;FALS;VG;2,00;CERT;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;1.000.000;CERT;19,90;2.022;20,00
Gag Order;SEA GLASS GREEN VINYL (EXCLUSIVE LIMITED EDITION);FALS;FALS;FALS;CERT;M;6,00;CERT;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;1.000;FALS;68,43;2.023;70,00
Neptune Diamond;2ND ANNIVERSARY VINYL REISSUE;FALS;FALS;CERT;FALS;NM;7,00;CERT;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;250;FALS;27,50;2.023;50,00
WEEDKILLER;(Emboss Edit, numbered);CERT;FALS;CERT;FALS;NM;8,00;CERT;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;595;FALS;36,14;2.023;65,00
Like..?;Limited Edition Vinyl EP;FALS;FALS;FALS;CERT;M;6,00;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;5.000;CERT;33,41;2.023;40,00
STARFUCKER;Urban Outfiters Limited Edition;CERT;FALS;FALS;FALS;NM;8,00;CERT;FALS;CERT;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;1.500;FALS;55,00;2.023;85,00
TURN OFF THE LIGHT;Limited Edition (Glow in the dark);FALS;CERT;FALS;FALS;NM;10,00;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;2.000;FALS;78,32;2.019;200,00
Tension;Limited Edition (Gray);FALS;CERT;CERT;FALS;NM;8,50;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;3.000;CERT;50,00;2.023;75,00
Radical Optimism;Limited Edition (Numbered, Picture Disc Zeotrope, 2nd Version);CERT;FALS;CERT;FALS;M;8,50;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;CERT;FALS;FALS;CERT;FALS;FALS;5.000;FALS;52,58;2.024;65,00
Eternal Sunshine;Translucent Ruby Red;CERT;FALS;FALS;FALS;NM;2,00;FALS;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;1.000.000;CERT;23,45;2.024;20,00
Slut Pop;Limited Edition (Hot Pink);CERT;CERT;FALS;FALS;NM;9,50;CERT;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;2.500;CERT;37,98;2.022;100,00
Brat;Limited Edition (Picture Disc, 360_brat exclusive);FALS;FALS;FALS;CERT;M;8,50;CERT;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;3.000;CERT;50,49;2.024;65,00
Brat;Signed CD;CERT;FALS;FALS;FALS;NM;8,50;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;2.000;CERT;25,90;2.024;40,00
Brat and it’s the same but there’s three more songs so it’s not;Limited Edition (Black & White Galaxy);FALS;FALS;FALS;CERT;M;8,75;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;5.000;FALS;56,88;2.024;70,00
Guts (Spilled);Limited Edition (Picture Disc, numbered, zeotrope) Té rallada a la part exterior…;CERT;FALS;CERT;FALS;NM;9,00;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;CERT;10.000;FALS;56,29;2.024;100,00
Diet Pepsi;7” Signed;FALS;FALS;FALS;CERT;M;9,25;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;3.000;CERT;27,80;2.024;65,00
Diet Pepsi;7” Signed;CERT;FALS;FALS;FALS;NM;9,25;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;3.000;CERT;27,80;2.024;45,00
Slayyyter (Deluxe);Limited Edition (Anniversary;FALS;FALS;FALS;CERT;M;9,50;CERT;FALS;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;2.500;FALS;54,33;2.019;150,00
Nadie Lo Va A Hacer Por Mí;Limited Edition (Signed, Gray);CERT;FALS;CERT;FALS;NM;6,50;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;150;CERT;27,00;2.023;35,00
Conte de Les Quatre Estacions;Limited Edition;FALS;FALS;FALS;CERT;M;8,50;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;250;CERT;20,00;2.023;45,00
Addison Rae;Limited Edition (Blue Translucent [Light Blue]);CERT;FALS;FALS;FALS;F;7,00;CERT;FALS;CERT;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;CERT;2.500;CERT;43,30;2.025;65,00
Hit Hard And Soft;Limited Edition (One year anniversary, Blue and Orange Splatter Biovinyl);FALS;FALS;FALS;CERT;M;8,50;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;5.000;CERT;44,98;2.024;70,00
Addison Rae;Limited Edition (Liquid Magenta);FALS;CERT;FALS;FALS;NM;9,50;CERT;FALS;FALS;FALS;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;7.000;CERT;65,76;2.025;125,00
Vie;Signed Vinyl;FALS;FALS;FALS;FALS;NM;0,00;CERT;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;CERT;FALS;FALS;FALS;5.000;CERT;51,00;2.025;51,00
The Provocateur CD;Signed CD;CERT;FALS;FALS;FALS;NM;0,00;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;3.000;CERT;12,50;2.025;12,50
Sexonthebeat;Signed 7” Vinyl;FALS;CERT;FALS;FALS;NM;0,00;CERT;FALS;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;3.000;CERT;13,50;2.025;13,50